司马懿,司马懿能够获得2000范围内施法者的视野且在该范围内释放技能会为司马懿回复5点能量；在击杀英雄或野怪时会回复10点能量。司马懿基础拥有80点能量（每级提升3点能量上限），同时每次击杀或者助攻能够提升10点能量上限，最高可以提升到200点能量上限；释放技能会激活幽影之牙；幽影之牙：司马懿增加30点移动速度并将手持巨大的镰刀进行普通攻击，持续4秒，镰刀每击造成250（+40%法术加成）点法术伤害，召唤镰刀后的首次攻击可位移到目标身后造成400（+65%法术加成）点法术伤害,寂灭之心&0|魇语军师&0|暗渊魔法&12,闪现/斩杀,50%,50%,90%,50%
孙策,每过6秒，孙策的下一次普攻附带额外110(+60%物理加成)点物理伤害，并回复自身55（+30%物理加成）（+3%已损生命）点生命值;被动：每次受到物理伤害或技能命中目标时，孙策获得1层不屈效果：护甲值提升20点，持续6秒，可叠加10层,光明之海&0|海之征途&0|猫狗日记&12|末日机甲&15,闪现/斩杀,70%,50%,70%,50%
元歌,继承元歌全部装备（除复生、血怒、暗幕、法力护盾）效果以及部分BUFF效果，傀儡普通攻击可造成0~195（+100%物理加成）点物理伤害，傀儡的基础伤害会随1技能等级而成长； 其获得的金币经验与部分BUFF效果都会共享给元歌，傀儡被摧毁会禁止元歌召唤傀儡，持续20秒；同时会暴露元歌位置以及造成晕眩，持续两秒；每当傀儡回归本体，本体都会清除控制效果并获得40%移动速度的增加，持续1秒和200（+62%物理加成）点护盾,无间傀儡&0|午夜歌剧院&0|云间偶戏&40,闪现/斩杀,10%,50%,90%,100%
米莱狄,"直接被米莱狄或者机械仆从击杀的单位（除敌方机械仆从以外），会在其附近召唤1个机械仆从（至多存活8秒），短暂时间后冲向附近的敌人进行攻击。（机械仆从的攻击力,生命值和移动速度受到米莱狄的法术强度加成，机械仆从至多存在5个，超过上限时自动引爆更早的机械仆从）。机械仆从如果没有被击杀，生存期结束后将会发生爆炸对附近敌人造成200（+30%法术加成）点法术伤害。机械仆从攻击力：150（+30%法术加成）,机械仆从生命值：550（+110%法术加成）,机械仆从移动速度：450（+10%法术加成）",筑城者&0|精准探案法&0|御霄&39|胡桃异想国&40|契约魔法&1,闪现/斩杀,20%,10%,80%,40%
狂铁,狂铁的武器在击中敌人时会激发电流，进而为武器充能。普攻每命中一个英雄/非英雄回复7点/5点能量，技能命中敌方单位回复10点能量，普攻命中敌方单位回复7点能量，不再区分单位类型，最多可储存90点能量。充能≥30点时，技能会获得不同的强化效果，每次普攻附带50点物理伤害，并在命中敌人时回复70点自身生命值。强化技能使用时会消耗30点能量，且不会因击中敌人而获取能量。脱离战斗后，能量不再随时间衰减。,战车意志&0|命运角斗场&0|御狮&54|特工战影&50,闪现/斩杀,60%,60%,60%,50%
弈星,弈星的普攻会造成法术伤害，任意技能命中敌人都会去叠加1层去气印记，4层气后，敌人 脚下会生成一颗棋子， 造成100(+ 10%法术攻击)法术伤害，并为弈星的本次棋局永久累积1 颗棋子数，击败/助攻/每60秒都会 获得5颗;每颗会累积1点法术攻击。印记触发产生的棋子 均会被棋阵中心吸引，对连线上敌人造成170(+ 11 %法术攻击)法术伤害。 受到致命伤害会遁入虚无，在脚下产生一颗棋子，免疫所有伤害并提升30%移速，持续1秒 这个效果有150秒冷却； 去气棋子短时间多次命中敌人，后续伤害会衰减至50% ,天元之弈&0|踏雪寻梅&0|混沌棋&66,闪现/斩杀,60%,60%,70%,70%
裴擒虎,在人形态下每次普攻将发出气功波，攻击目标时造成额外16点法术伤害（伤害随英雄等级提升），额外造成的法术伤害可以在3秒内进行叠加，至多提升到基础值的3倍。普攻每次命中恢复5点能量,六合虎拳&0|街头旋风&0|梅西&28|天狼狩猎者&19|李小龙&77|寅虎·赤拳&93,闪现/斩杀,40%,80%,50%,70%
杨玉环,杨玉环切换曲调，在释放技能时产生不同的效果； 破阵：释放技能对800范围内敌方英雄造成100（+20%法术加成）点法术伤害； 清平：释放技能对800范围内友军英雄造成35（+7%法术加成）点生命回复。,霓裳风华&0|霓裳曲&0|遇见飞天&36|寅虎·心曲&93,闪现/斩杀,30%,30%,90%,50%
公孙离,阿离的普攻伤害会为目标叠加枫之印记，每四层印记触发一次爆炸（并叠加新的印记），对周围敌人造成150（+30%物理加成）点法术伤害；释放技能或收回纸伞后阿离的普通攻击将会额外投掷一枚飞镖造成30%物理加成点物理伤害；阿离能够在释放技能后再次使用技能回归到纸伞的位置；当阿离手中没有纸伞时，自身移动速度提升50点与基础攻击间隔缩短20%。,幻舞玲珑&0|花间舞&0|蜜橘之夏&29|无限星赏官&12|祈雪灵祝&81|玉兔公主&89,闪现/斩杀,20%,80%,30%,70%
明世隐,明世隐对同一目标的第三次普攻会对其造成0.75秒晕眩，对同一目标叠满印记后3秒内无法再对其叠加印记,灵魂劫卜&0|占星师&0|虹云星官&1|疑决卦&70|吟游魔法&40,闪现/斩杀,60%,30%,50%,70%
女娲,女娲每升一级提升2%自身视野范围（最高42%），同时提升2%普攻与技能释放范围（最高28%）；女娲的技能命中敌方英雄将会被标记，使得友军（包括自己）对标记目标造成的普攻和技能伤害，能够直接增加友军16%移动速度和生命回复（总计可回复40（+12%法术加成）），这个效果对于每个攻击者每0.5秒只能触发一次,至高创世&0|尼罗河女神&0|朔望之晖&40|补天&5,闪现/斩杀,30%,10%,90%,70%
梦奇,梦奇释放技能会获得质量，每10点质量增加6点物理攻击、8点物理和法术防御。梦奇在战斗/非战斗状态下每秒消耗5/15点质量。,入梦之灵&0|美梦成真&0|胖达荣荣&15,闪现/斩杀,80%,40%,40%,40%
苏烈,苏烈在濒临死亡时会立即回复70%最大生命值，同时会陷入虚弱状态，持续4.5秒；虚弱状态下将禁止一切操作并免疫控制效果，自身会减少50点物理防御和25点法术防御；虚弱状态结束时，苏烈将发出怒吼，对附近敌人造成150（+100%物理加成）点法术伤害并减少其50%移动速度，持续2秒；虚弱状态结束时，苏烈还将增加50%攻击速度和30%移动速度，持续2秒；刚陷入虚弱状态时，苏烈周围会出现3盏烽火台，队友可通过触碰烽火台来点亮烽火，每点亮一盏将会为苏烈和该名队友回复10%最大生命值；3盏烽火台都被点亮时，会立即结束虚弱状态；苏烈每120秒才能触发一次虚弱状态；苏烈的意志力能增加90点物理防御和法术防御，但不屈铁壁处于冷却时会暂时失效。,不屈铁壁&0|爱与和平&0|坚韧之力&35|玄武志&43|千军破阵&87,闪现/斩杀,70%,40%,60%,50%
百里玄策,钩链近端造成80%物理加成的物理伤害，远端会在近端伤害的基础上额外造成40%物理加成的物理伤害；当钩镰远端命中敌人时降低移速，并且自身会获得短暂移速提升，该效果受神乎钩镰等级影响,嚣狂之镰&0|威尼斯狂欢&0|白虎志&43|原初追逐者&76|热力回旋&71,闪现/斩杀,40%,80%,40%,100%
百里守约,百里守约的普通攻击会造成190%物理加成点物理伤害，但攻击间隔更长且无法暴击；百里守约每获得1%暴击几率就会将其转化为2.5点物理攻击力；非战斗状态下，百里守约能够隐匿在地形边缘，进入伪装状态，并增加16%~30%移动速度，移动速度随英雄等级成长。,静谧之眼&0|绝影神枪&0|特工魅影&12|朱雀志&43,闪现/斩杀,20%,70%,40%,70%
铠,铠拥有精湛的战斗技巧，当铠的普通攻击和极刃风暴只命中了一个目标时将会额外造成50%伤害。,破灭刃锋&0|龙域领主&0|曙光守护者&71|青龙志&43|绛天战甲&15,闪现/斩杀,70%,70%,40%,20%
鬼谷子,鬼谷子脱离敌方视野3秒后，玄微子会再次归巢到法杖中，下一次普通攻击变更为强化攻击，强化攻击会造成300（+45%法术加成）点法术伤害并将范围内的敌人减少50%移动速度，持续1.5秒；如果使用强化攻击时，鬼谷子不处于敌方视野，则纵横兵法的冷却时间将会增加至10秒,万物有灵&0|阿摩司公爵&0|幻乐之宴&1|原初探秘者&78,闪现/斩杀,50%,20%,60%,50%
干将莫邪,释放飞剑技能时，莫邪都会配合干将飞出自己的雌剑，雌剑和雄剑呈对称状在一点交汇，造成同等伤害。干将莫邪普通攻击使用飞剑挥砍对方造成300（+25%法术加成）点法术伤害，雌雄剑命中敌方目标会分别叠加雌雄剑气，飞剑会对被剑气缠绕的目标造成额外伤害，同一道剑气被同时多次激发时，后续只造成50%伤害。,淬命双剑&0|第七人偶&0|冰霜恋舞曲&5|久胜战神&51|真爱魔法&40|胡桃夹子&50,闪现/斩杀,40%,30%,80%,70%
东皇太一,东皇太一使用祭典创造出来的黑暗能量体极不稳定，敌人被黑暗能量体触碰到都会造成100（+敌方3%最大生命值）（50%法术加成）点法术伤害；每当黑暗能量体对敌方英雄造成伤害时，东皇太一将会回复100（自身最大生命3%）（+40%法术加成）点生命值，对敌人非英雄目标造成伤害时，东皇太一将会回复自身1%最大生命值,噬灭日蚀&0|东海龙王&0|逐梦之光&19,闪现/斩杀,80%,20%,50%,40%
大乔,大乔与附近600范围内最近的队友将会增加40～60移动速度，增加幅度随英雄等级成长,沧海之曜&0|伊势巫女&0|守护之力&34|猫狗日记&12|白蛇&12|白鹤梁神女&5,闪现/斩杀,10%,10%,60%,60%
黄忠,黄忠普攻命中目标将不断激怒自己，获得1.5%暴击率和12点攻击力加成的效果（重装炮塔状态下效果翻倍），持续1.5秒，最多叠加5层。,燃魂重炮&0|芝加哥教父&0|烈魂&72|火炮绅士&40,闪现/斩杀,40%,90%,40%,40%
诸葛亮,诸葛亮法术命中敌人时，会为自己施加谋略刻印，当刻印达到5层时，会召唤5颗法球围绕自身，短暂时间后依次飞出攻击附近的敌人造成135(+25%法术加成)点法术伤害；法球会优先攻击敌方英雄，法球不会攻击非战斗状态的野怪。,绝代智谋&0|星航指挥官&0|黄金分割率&12|武陵仙君&24|掌控之力&31|时雨天司&81|星域神启&26,闪现/斩杀,30%,10%,80%,60%
哪吒,当哪吒用三尖枪和乾坤圈，混天绫时进行攻击时会在敌人身上留下炙炼火种，对敌人每秒造成35（+26%物理加成）点真实伤害，持续3秒；并且炙炼火种会减少其35%的生命回复效果。,桀骜炎枪&0|三太子&0|逐梦之翼&19|次元突破&1|雪上飞焰&12,闪现/斩杀,80%,30%,60%,50%
太乙真人,太乙真人附近800范围内的敌方非英雄单位死亡时，太乙真人和附近的队友都会额外获得20％金币,炼金大师&0|圆桌骑士&0|饕餮&60|华丽摇滚&9,闪现/斩杀,50%,10%,60%,70%
蔡文姬,当蔡文姬受到伤害时，自身会立刻增加70%持续衰减的移动速度，持续2秒，同时自身会每秒回复250（+50%法术加成）点生命值，持续2秒；长歌行每10秒只能触发1次,天籁弦音&0|蔷薇王座&0|奇迹圣诞&37|舞动绿茵&12|繁星吟游&65|花朝如约&15,闪现/斩杀,50%,10%,80%,30%
雅典娜,雅典娜对非英雄单位造成25％的额外伤害。死亡后以真身形态继续移动并增加向着雅典娜移动的队友10%移速， 复活时重新降临归来，对周围敌人造成480(+35*英雄等级)(+1.2Ad)的物理伤害和0.75秒击飞。,圣域余晖&0|战争女神&0|冰冠公主&12|神奇女侠&32|单词大作战&40|黎明之约&92,闪现/斩杀,70%,60%,40%,60%
杨戬,杨戬附近的每个敌方英雄都会使杨戬减少自身20%所受控制效果的持续时间，最多减少60%,根源之目&0|埃及法老&0|永曜之星&25|次元傲视&1|天秀·启明&12,闪现/斩杀,60%,60%,50%,50%
成吉思汗,当成吉思汗穿越草丛时会增加40%移动速度，持续2秒，同时下一次普通攻击将变更为两连射，每支箭矢造成0（+60%物理加成）点物理伤害；两连射有4秒冷却时间。击杀任一单位也会获得该加速效果；成吉思汗处于草丛中时增加30%对野怪伤害。,苍狼末裔&0|维京掠夺者&0,闪现/斩杀,30%,80%,30%,50%
钟馗,钟馗受到单次伤害超过10%当前生命值会引发爆炸，对自身附近的敌人造成60（+60%法术加成）（+105)（最大生命值3%）法术伤害，引发爆炸有2秒冷却时间；钟馗死亡后3秒引爆自身，对自身附近的敌人造成240（+240%法术加成）（+420）（最大生命值12%）法术伤害,虚灵城判&0|地府判官&0|神迹守卫&40|驱傩正仪&85|乐园奇幻夜&12,闪现/斩杀,50%,40%,70%,50%
虞姬,虞姬有25%的几率射出两箭总计造成100（+120%物理加成）点物理伤害，同时将减少其15%移动速度，持续2秒，该效果最高叠加3层。,森之风灵&0|加勒比小姐&0|霸王别姬&5|凯尔特女王&58|云霓雀翎&49|启明星使&79,闪现/斩杀,40%,80%,50%,40%
李元芳,元芳可爱的大耳朵可以帮助元芳周期性谛听周围的动向，获得并捕捉敌方英雄的踪迹，获得敌方视野1秒，对同一单位6秒生效一次。同时李元芳可以识破野怪弱点，所有的攻击会对也怪额外造成10%真实伤害。,王都密探&0|特种部队&0|黑猫爱糖果&1|逐浪之夏&12|银河之约&40|飞鸢探春&15,闪现/斩杀,30%,80%,50%,50%
张飞,张飞变身前，每次普通攻击会增加3点狂意；张飞变身后，施放技能会使得周围的地面震动，附近的敌人将会减少50％移动速度，持续2秒。,禁血狂兽&0|五福同心&16|乱世虎臣&17|虎魄&72,闪现/斩杀,100%,40%,50%,60%
刘备,刘备的火铳是霰弹枪，目标会受到50%总攻击力+40%×额外弹丸数的总伤害；每颗弹丸命中敌方英雄，会增加1层战斗本能，战斗本能会给刘备增加3~11点物理穿透，持续6秒，最多叠加12层，增加幅度随英雄等级成长；每次射击只有中间的2颗弹丸能够暴击并触发装备效果；建筑不受额外弹丸影响,仁德义枪&0|万事如意&16|纽约教父&1|汉昭烈帝&17|时之恋人&15,闪现/斩杀,60%,60%,40%,40%
后羿,普攻命中敌人后增加自身5%攻击速度，可叠加至多3层。当攻速加成叠加到3层时，后羿的普攻将射出3支箭矢，每支箭矢造成原伤害的40%，强化持续3秒。（期间每次命中刷新持续时间）,半神之弓&0|精灵王&0|阿尔法小队&1|辉光之辰&25|黄金射手座&33|如梦令&69|圣弓游侠&40,闪现/斩杀,30%,80%,40%,30%
牛魔,当牛魔附近800范围内有友方英雄时，牛魔和范围内血量最少的友方英雄会获得150点物理防御和法术防御，防御力随英雄等级成长,精英酋长&0|西部大镖客&1|制霸全明星&1|御旌&46|奔雷神使&81,闪现/斩杀,70%,40%,50%,50%
孙悟空,孙悟空每次释放技能后下一次普通攻击变更为强力敲击，强力敲击会冲锋至目标身旁并抡起金箍棒敲打造成425（+100%物理加成）点物理伤害，该伤害可全额享受暴击收益。孙悟空天生拥有20%暴击几率，但初始只能造成150%暴击伤害,齐天大圣&0|地狱火&15|西部大镖客&0|美猴王&2|至尊宝&21|全息碎影&26|大圣娶亲&45|零号·赤焰&5|孙行者&89,闪现/斩杀,50%,80%,50%,40%
亚瑟,亚瑟获得圣光守护，每2秒回复2%的最大生命值,圣骑之力&0|死亡骑士&1|狮心王&13|心灵战警&12|潮玩骑士王&40,闪现/斩杀,80%,30%,50%,20%
橘右京,橘右京下一次普攻将进行一次强力拔刀斩，对前方敌人造成130%物理加成物理伤害并减少50%移动速度，持续2秒；拔刀斩每5秒可准备1次；对处于攻击边缘的敌人将承受50%的物理伤害,神梦一刀&64|修罗&12,闪现/斩杀,50%,60%,50%,50%
娜可露露,娜可露露的技能命中敌人时，下一次普通攻击变更为强化攻击，强化攻击会额外造成80（+100%额外物理加成）的物理伤害。,鹰之守护&64|晚萤&12,闪现/斩杀,30%,80%,60%,40%
不知火舞,不知火舞每隔5秒的第一次普通攻击将会向当前朝向释放忍蜂，额外造成100（+100%法术加成）的法术伤害并将敌人击退，忍蜂命中敌人回复10点能量；不知火舞使用技能后能翻滚一段距离，并且会增加50%移动速度，持续0.5秒，该效果会随时间衰减。普通技能命中敌人将会回复25点能量值，大招每命中一名敌人都将会回复25点能量值,明媚烈焰&64|魅语&12,闪现/斩杀,30%,30%,80%,80%
张良,张良对任一敌人造成的相邻两次普攻或技能伤害的时间间隔若小于1.5秒，这两次伤害的间隔时间被视为“连续攻击状态”，该状态每积累满1.2秒，会使该敌人额外承受100（+50%法术加成）点真实伤害，该伤害随英雄等级每级成长10点。,言灵之书&0|天堂福音&0|一千零一夜&0|幽兰居士&1|黄金白羊座&33|缤纷绘卷&50,闪现/斩杀,30%,10%,80%,60%
花木兰,花木兰使用轻剑时，增加40点移动速度，普通攻击和技能伤害将会对敌方英雄叠加平衡印记，持续5秒；叠加满5层后将触发印记，造成200%物理加成点物理伤害，同时将该目标沉默并减少其90%移动速度，持续1秒；花木兰使用重剑时，普通攻击的基础攻击速度会降低，但会额外造成50%物理加成的物理伤害；并且释放技能过程中将处于霸体状态并减少45%所受到的伤害。,传说之刃&0|剑舞者&0|兔女郎&1|水晶猎龙者&71|青春决赛季&5|冠军飞将&38|瑞麟志&43|默契交锋&82,闪现/斩杀,50%,70%,50%,80%
兰陵王,兰陵王朝敌方英雄移动时会增加20%移动速度,暗影刀锋&0|隐刃&0|暗隐猎兽者&12|驯魔猎人&40|默契交锋&82|金庭之子&91,闪现/斩杀,40%,80%,40%,50%
王昭君,王昭君脱离战斗后会获得可抵免480（+58%法术加成）点伤害的寒冰护盾，护盾对物理攻击者施加冰冷效果。护盾破裂时对附近敌人造成一次冰霜冲击造成480（+58%法术加成）点法术伤害并减少其50%移动速度，持续1秒；王昭君第三次普攻出发3枚尖刺总共造成240（+30%法术加成）点伤害冰冷效果：减少目标50%移动速度与35%攻击速度持续2秒并随时间衰减。,冰雪之华&0|精灵公主&0|偶像歌手&12|凤凰于飞&20|幻想奇妙夜&1|乞巧织情&15,闪现/斩杀,40%,40%,80%,40%
韩信,韩信的第四次普通攻击会将敌人击飞0.5秒；韩信释放技能命中目标后会增加60%攻击速度,国士无双&0|街头霸王&1|教廷特使&1|白龙吟&12|逐梦之影&19|飞衡&67|傲雪梅枪&5,闪现/斩杀,20%,70%,30%,80%
刘邦,当刘邦的650范围内存在敌方英雄或小兵时，刘邦每隔4秒会强化一次普攻，强化普攻会朝前方斩出一道剑气，剑气命中敌人会造成刘邦最大生命值6%~8%的法术伤害,双面君主&0|圣殿之光&0|德古拉伯爵&12|夺宝奇兵&40|虎啸剑宗&1,闪现/斩杀,80%,40%,60%,50%
姜子牙,每120秒姜子牙为友军增加168点经验值 (开局120秒后第一次触发),太古魔导&0|时尚教父&0|炽热元素使&1,闪现/斩杀,10%,20%,70%,30%
露娜,露娜对新目标的第一次普通攻击会向敌人发起冲锋；露娜的第三次普通攻击将会额外造成150（+35%法术加成）点法术伤害并标记敌人，但无法标记机关。露娜每1点法术攻击将提升0.03%攻击速度,月光之女&0|哥特玫瑰&1|绯红之刃&0|紫霞仙子&12|一生所爱&44|瓷语鉴心&1|启示之音&5,闪现/斩杀,50%,40%,70%,90%
程咬金,程咬金每损失1%最大生命值获得额外3～7点物理攻击力，增加幅度随英雄等级成长，并且程咬金释放普通技能会消耗当前10%的最大生命值，大招消耗16%的当前生命值；每次释放技能还会回复8%已损失生命值，回复过程持续3秒,热烈之斧&0|爱与正义&1|星际陆战队&1|华尔街大亨&0|功夫厨神&12|活力突击&26|演武夺筹&83|无双福将&1,闪现/斩杀,90%,50%,50%,10%
安琪拉,安琪拉的技能会灼烧敌人，每层灼烧效果会造成11（+2%法术加成）点法术伤害，灼烧效果最多叠加10层,暗夜萝莉&0|玩偶对对碰&1|魔法小厨娘&5|心灵骇客&12|如懿&1|时之奇旅&12,闪现/斩杀,40%,10%,80%,40%
貂蝉,貂蝉的技能命中会为敌人叠加花之印记，持续8秒，叠加满4层后印记触发，回复自身120点生命，同时会对周围敌人造成180（+43％法术加成）点真实伤害并减少其50％移动速度，持续1秒,绝世舞姬&0|异域舞娘&0|圣诞恋歌&12|仲夏夜之梦&15|逐梦之音&19|猫影幻舞&38|遇见胡旋&88|唤灵魅影&96,闪现/斩杀,40%,20%,70%,60%
关羽,关羽每主动移动200距离将增加2％移动速度；持续移动达到2000距离时会进入冲锋姿态；当关羽的移动速度被减少至375点以下或受到控制效果时需要重新积累；冲锋姿态：关羽的普通攻击会击退敌人并附带(+100%物理攻击)（+10%最大生命）物理伤害；关羽面朝敌方移动时将增加20％移动速度。,一骑当千&0|龙腾万里&16|天启骑士&0|冰锋战神&18|武圣&72,闪现/斩杀,60%,60%,60%,80%
老夫子,老夫子普通攻击命中会增加1点训诫值，最多叠加5点，叠满后会获得强化自身，持续5秒；强化时老夫子会增加60点移动速度和25%攻击速度，同时普通攻击将会附带60点真实伤害，每次攻击能够减少1秒圣人训诫和举一反三的冷却时间,万古长明&0|潮流仙人&0|圣诞老人&37|功夫老勺&1|醍醐杖&74|航海奇遇记&40,闪现/斩杀,60%,60%,40%,30%
武则天,被动效果的脱离战斗触发时间为3秒（默认脱战时长仍为6秒），武则天脱离战斗后会增加50点移动速度，同时每秒会回复2％最大法力值。,女帝&0|东方不败&1|海洋之心&15|倪克斯神谕&26,闪现/斩杀,20%,10%,100%,60%
项羽,项羽生命低于30%时，自身减少40%所受到的伤害，持续6秒，每90秒最多触发一次；项羽的普通攻击会对目标额外造成其6%最大生命值的物理伤害；对小兵/野怪造成400点物理伤害；对建筑额外造成6%最大生命值和400点物理伤害；每个目标每5秒只能触发一次,霸王&0|帝国元帅&0|苍穹之光&12|海滩派对&6|职棒王牌&1|霸王别姬&5|科学大爆炸&1,闪现/斩杀,90%,40%,50%,30%
达摩,达摩每次释放技能将会获得真言护体，每层真言增加80点物理防御，持续5秒，最多叠加3层；如果技能命中目标，下两次普通攻击将变成双拳攻击，但第二拳只会造成（+30%物理加成）的物理伤害；同时增加100%攻击速度，持续2秒；每次拳击会回复60点生命值,拳僧&0|拳王&1|大发明家&1|黄金狮子座&33|星际陆战队&40|沙漠行僧&91,闪现/斩杀,70%,50%,20%,50%
狄仁杰,狄仁杰的普通攻击能够获得1层迅捷效果，每层迅捷效果会增加6％攻击速度和5％移动速度，最多叠加5层,断案大师&0|锦衣卫&0|魔术师&6|超时空战士&15|阴阳师&3|鹰眼统帅&47|万华元夜&80,闪现/斩杀,40%,90%,30%,20%
马可波罗,马可波罗的每次普攻与技能伤害会给目标附加1层防御破坏效果(对小兵为5层)，达到10层后回复30点能量，同时目标触发防御破坏效果。 防御破坏期间目标每次受到马可波罗的伤害都会额外受到40( +50%物理攻击)真实伤害(该伤害可以暴击)，持续5秒。马可波罗的技能伤害仅享受50%的法球加成。,远游之枪&0|激情绿茵&0|逐梦之星&19|暗影游猎&40| 潮玩牛仔&1,闪现/斩杀,30%,60%,60%,50%
李白,李白使用普通攻击攻击敌人时，会积累1道剑气，持续3秒；积累4道剑气后进入侠客行状态，增加30点物理攻击力并解除青莲剑歌的封印，持续5秒；攻击建筑不会积累剑气,青莲剑仙&0|范海辛&0|千年之狐&12|凤求凰&20|敏锐之力&30|鸣剑·曳影&26,闪现/斩杀,40%,70%,60%,90%
宫本武藏,宫本武藏施放技能后，下一次普通攻击变更为蓄力攻击，蓄力攻击会额外造成120（+25%物理加成）点物理伤害并减少1秒所有技能的冷却时间,剑圣&0|鬼剑武藏&12|未来纪元&1|万象初新&16|地狱之眼&15|霸王丸&64,闪现/斩杀,50%,70%,40%,50%
典韦,典韦每一次击败英雄或者助攻会增加1层激怒效果，每层激怒效果会增加典韦12点物理攻击力，最多叠加20层,狂战士&0|黄金武士&1|穷奇&63|蓝屏警告&40|岱宗&67|铁甲之心&1,闪现/斩杀,60%,60%,30%,10%
曹操,曹操每次施放技能会增加10%攻击速度，最多叠加5层，持续5秒,鲜血枭雄&0|超能战警&0|幽灵船长&12|死神来了&0|烛龙&61|天狼征服者&19,闪现/斩杀,60%,60%,50%,40%
甄姬,每次技能伤害都会为目标叠加冰冻印记，持续7秒，叠加满3层后目标将被冰冻1秒，造成350（+52％法术加成）点法术伤害,洛神降临&0|冰雪圆舞曲&12|花好人间&16|游园惊梦&23|幽恒&67|女儿国国王&89,闪现/斩杀,10%,10%,70%,40%
